model,best_params,mean_squared_error,explained_variance,r2,mean_absolute_error,mean_absolute_percentage_error,execution_time
RandomForestRegressor,"{'criterion': 'absolute_error', 'n_estimators': 100}",0.5359855169753086,0.45087538552805007,0.45024701022412494,0.5290864197530863,0.09277066749927543,585.3634715080261
KNeighborsRegressor,{'n_neighbors': 11},0.9248166003469033,0.0525050542249611,0.05142830368960849,0.7337051066217732,0.1260296917392856,2.15201473236084
MLPRegressor,"{'activation': 'tanh', 'solver': 'lbfgs'}",0.9513144887216317,0.024275233731559376,0.02424978319718729,0.752811144534408,0.12992684589594927,107.91523241996765
